site_code,short_title,stage,longitude,latitude,target_group_name
S0001726,Boddington Bauxite,Operating,116.455902,-32.931561,BAUXITE - ALUMINA
S0001739,Willowdale,Operating,116.014801,-32.920719,BAUXITE - ALUMINA
S0003638,Marradong,Operating,116.434898,-32.836769,BAUXITE - ALUMINA
S0003656,O'Neil,Operating,116.2015,-32.515442,BAUXITE - ALUMINA
S0005694,Myara S,Operating,116.05947,-32.498088,BAUXITE - ALUMINA
S0006557,Karafil,Operating,116.424417,-32.910145,BAUXITE - ALUMINA
S0022337,Hotham N Extension,Under Development,116.426498,-32.656319,BAUXITE - ALUMINA
S0230587,McCoy,Operating,116.163598,-32.559864,BAUXITE - ALUMINA
S0233540,Orion,Operating,116.05697,-32.842827,BAUXITE - ALUMINA
S0233859,Boddington North,Operating,116.407498,-32.812005,BAUXITE - ALUMINA
S0000012,Baneygo,Operating,122.3125,-27.963344,GOLD
S0000030,Golden Crown,Operating,120.101598,-21.870333,GOLD
S0000033,Big Bell UG,Operating,117.655357,-27.318659,GOLD
S0000045,Aladdin,Operating,118.347188,-26.86947,GOLD
S0000046,Bluebird,Operating,118.425102,-26.716249,GOLD
S0000049,Five Mile Well,Operating,118.54088,-26.529259,GOLD
S0000053,Southern Stockworks,Operating,121.644084,-30.809293,GOLD
S0000138,Cosmopolitan,Operating,121.4954,-29.337562,GOLD
S0000181,Morrison,Operating,121.508466,-30.789484,GOLD
S0000198,Yarlarweelor,Operating,118.360354,-25.343679,GOLD
S0000258,Goongarrie Lady,Operating,121.184481,-30.081354,GOLD
S0000263,Paris,Operating,121.975881,-31.588763,GOLD
S0000275,Hawkins Find,Operating,121.02196,-30.498387,GOLD
S0000350,Lord Byron SE,Operating,123.043943,-29.131214,GOLD
S0000357,Jupiter,Operating,122.219287,-28.807189,GOLD
S0000379,Last Chance E,Operating,121.601997,-30.594219,GOLD
S0000389,Harrys Hill,Operating,122.558028,-31.045011,GOLD
S0000462,Lloyd George,Operating,120.967452,-31.04095,GOLD
S0000469,Star of Mangaroon,Operating,115.746101,-23.867599,GOLD
S0000541,Mt Marven,Operating,122.175598,-28.81282,GOLD
S0000566,Racetrack,Operating,121.22703,-30.556282,GOLD
S0000590,Nevoria UG,Operating,119.588401,-31.507265,GOLD
S0000642,Enterprise,Operating,121.088414,-30.372122,GOLD
S0000671,Million Dollar North,Operating,122.285975,-29.799054,GOLD
S0000675,Queen Lapage,Operating,121.979797,-30.61618,GOLD
S0000698,Missouri,Operating,120.953665,-30.219187,GOLD
S0000709,Second Fortune,Operating,122.435819,-29.376506,GOLD
S0000726,Spargos Reward,Operating,121.47075,-31.236454,GOLD
S0000728,Jasper,Operating,121.243896,-28.75897,GOLD
S0000732,Main Dome,Operating,122.207118,-21.719565,GOLD
S0000769,Edna May UG,Operating,118.700154,-31.291771,GOLD
S0000770,Edna May,Operating,118.698538,-31.290258,GOLD
S0000776,Bulletin,Operating,120.246696,-26.61145,GOLD
S0000811,Anglo Saxon,Operating,122.731479,-30.076781,GOLD
S0000847,Great Victoria,Operating,119.5737,-31.544279,GOLD
S0000880,Mt Charlotte,Operating,121.480904,-30.746441,GOLD
S0000909,Porphyry Pit,Operating,122.285004,-29.780899,GOLD
S0000927,Two Boys,Operating,121.724998,-31.74041,GOLD
S0000933,Bellevue UG,Operating,120.557701,-27.638941,GOLD
