SITE_CODE,SHORT_TITLE,TITLE,STAGE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,EXTRACT_DATE
S0001726,Boddington Bauxite,Boddington Bauxite,Operating,Worsley,116.455902,-32.931561,449133,6356168,50,Bx,Alumina,BAUXITE - ALUMINA,20221018
S0001739,Willowdale,Willowdale,Operating,Wagerup-Pinjarra / Alcoa,116.014801,-32.920719,407882,6357071,50,Bx,Alumina,BAUXITE - ALUMINA,20221018
S0003638,Marradong,Marradong,Operating,Worsley,116.434898,-32.836769,447113,6366667,50,Bx,Alumina,BAUXITE - ALUMINA,20221018
S0003656,O'Neil,Huntly - O'Neil,Operating,Wagerup-Pinjarra / Alcoa,116.2015,-32.515442,425001,6402148,50,Bx,Alumina,BAUXITE - ALUMINA,20221018
S0005694,Myara S,Huntly - Myara South,Operating,Wagerup-Pinjarra / Alcoa,116.05947,-32.498088,411644,6403963,50,Bx,Alumina,BAUXITE - ALUMINA,20221018
S0006557,Karafil,Karafil,Operating,Worsley,116.424417,-32.910145,446177,6358527,50,Bx,Alumina,BAUXITE - ALUMINA,20221018
S0022337,Hotham N Extension,Hotham North Extension,Under Development,Worsley,116.426498,-32.656319,446218,6386667,50,Bx,Alumina,BAUXITE - ALUMINA,20221018
S0230587,McCoy,Huntly - McCoy,Operating,Wagerup-Pinjarra / Alcoa,116.163598,-32.559864,421480,6397196,50,Bx,Alumina,BAUXITE - ALUMINA,20221018
S0233540,Orion,Orion - Willowdale,Operating,Wagerup-Pinjarra / Alcoa,116.05697,-32.842827,411749,6365743,50,Bx,Alumina,BAUXITE - ALUMINA,20221018
S0233859,Boddington North,Boddington North,Operating,Worsley,116.407498,-32.812005,444533,6369399,50,Bx,Alumina,BAUXITE - ALUMINA,20221018
S0000012,Baneygo,Baneygo,Operating,Duketon / Regis Resources,122.3125,-27.963344,432379,6906668,51,Au Ag,Precious metal,GOLD,20221018
S0000030,Golden Crown,Beatons Creek - Golden Crown,Operating,Beatons Creek JV,120.101598,-21.870333,200460,7578701,51,Au Ag As Cu Bi Sb,Precious metal,GOLD,20221018
